
// ========= Scene: Fall 2020 Event Start =========

// (lulu)
<0000> 「真、真的会在这种地方吗？」

// (ellie)
<0001> 「据传闻所说……的话！」

// (lulu)
<0002> 「这么黑好可怕啊……」

// (ellie)
<0003> 「小心脚下，\n脚步放慢点。」

// (lulu)
<0004> 「谢谢，\n艾莉看起来轻车熟路的，好厉害啊。」

// (ellie)
<0005> 「说到冒险的话可少不了地下城啊，\n这种地方我已经习惯了！」

// (lulu)
<0006> 「哇……这就是冒险啊。」

// (lulu)
<0007> 「那露露也得鼓起勇气了！」

// (ellie)
<0008> 「很好露露，就是这气魄就是这气魄！」

// (ellie)
<0009> 「只要得到了这个洞窟里的宝物……\n我们的旅途就能变得更奢侈了！」

// (lulu)
<0010> 「奢侈的旅途……！\n露露喜欢这个读音。」

// (ellie)
<0011> 「啊哈！\n所以我们绝对要找到它。」

// (ellie)
<0012> 「传说中的红蘑菇和梦幻般的蓝蘑菇！」

// (lulu)
<0013> 「嗯，露露也会努力寻找的！」

// (???)
<0014> 「想得美！」

// (ellie)
<0015> 「！？」

// (lulu)
<0016> 「是谁啊！？」

// (maynie)
<0017> 「这里所有的蘑菇\n都是这位阿妮尔姐姐大人的东西！」

// (lulu)
<0018> 「？？？」

// (maynie)
<0019> 「你们要是冒险者的话应该已经有所耳闻了！\n那就是将要在世间留下无数丰功伟绩的\n这位大人的名字！」

// (arnelle)
<0020> 「哼哼哼……啊哈哈哈哈！！」

// (arnelle)
<0021> 「没错，那业界闻名的宝藏猎人，\n说的就是本人，阿妮尔！」

// (maynie)
<0022> 「呀～～！！姐姐大人好帅啊！！」

// (ellie)
<0023> 「……」

// (lulu)
<0024> 「阿妮尔小姐……？\n艾莉，你听说过吗？」

// (ellie)
<0025> 「啊哈，\n从来都没听说过。」

// (ellie)
<0026> 「而且说是将要留下丰功伟绩……\n不就是说现在还什么都没留下吗。」

// (lulu)
<0027> 「啊，确实是这样啊！」

// (arnelle)
<0028> 「呜……」

// (maynie)
<0029> 「哈！？\n作为冒险者却不认得姐姐大人，\n你们也太业余了吧！」

// (maynie)
<0030> 「快教训她们一下吧！\n姐姐大人！」

// (arnelle)
<0031> 「慢着慢着。」

// (ellie)
<0032> 「哈？\n想打架的话随时奉陪！」

// (maynie)
<0033> 「胆子不小嘛，\n受伤了可别怪梅妮没提醒你……」

// (arnelle)
<0034> 「冷静点，梅妮！」

// (maynie)
<0035> 「……啊。」

// (arnelle)
