
<0000> 在之前的圣诞节里，\n有两个世界分别发生了纷争。
<0001> 那是在派送礼物的圣诞小姐，\n与想要阻止她的玩具店店员间发生的。
<0002> 在两个世界中发生的纷争基本一致。
<0003> 唯一不同之处是引发纷争的人，其真实身份。
<0004> 交错的圣诞节　Prologue
<0005> 「圣诞节快到了，\n这可是做生意的大好时机。」
<0006> 「呼……」
<0007> 「不过在这之前，\n还有必须要做的事。」
<0008> 「之前受到的恩情和给她添麻烦的补偿……\n必须得偿还一下。」
<0009> 「叮铃铃铃铃……」
<0010> 「嗯？什么嘛，\n就是她打过来的啊。」
<0011> 「喂，你好。」
<0012> 「亚瑟先～生！救救我！\n今年圣诞礼物的事，我想找你谈谈！」
<0013> 「喔，是圣诞小姐啊。\n刚好我也想联系你来着。」
<0014> 「毕竟欠了你这家伙的情，\n无论什么事我都会帮你的。」
<0015> 「太感谢了，亚瑟先生！」
<0016> 「那么，那个，\n有一些我自己准备不了的圣诞礼物请求……」
<0017> 「嗯？」
<0018> 「认真狩猎！小兔萌萌拳击袋，\n你听说过吗？」
<0019> 「什么！？竟然是小兔萌萌PB！」
<0020> 「拥有绝妙的烦人设计以及\n精心调整过的殴打手感……」
<0021> 「此外殴打时会发出使人愉悦的呻吟声，\n无论大人还是小孩都很有人气的\n减压商品！」
<0022> 「听说因为太有人气而供不应求了。」
<0023> 「就是说啊，\n要是只有我一个人的话\n根本没办法准备这些东西。」
<0024> 「这确实是难以获取的商品，但是……」
<0025> 「交给我吧，我会准备好你需要的东西的。」
<0026> 「亚瑟先生！谢谢你！」
<0027> 「你是……」
<0028> 「……！」
<0029> 「……为什么要妨碍我？」
<0030> 「大、大叔你才是！」
<0031> 「我是在工作，\n这个小兔萌萌PB就由我来收下了。」
<0032> 「等等！那是妮可的东西！」
<0033> 「妮可……！？」
<0034> 「因为是圣诞小姐拜托我来找这些东西的，\n所以不要妨碍我啦。」
<0035> 「圣诞小姐拜托你……的吗？」
<0036> 「你也是吗？」
<0037> 「诶？」
<0038> 「真巧啊，我也被圣诞小姐委托了。」
<0039> 「大叔也是吗？」
<0040> 「嗯，她哭着和我说弄不到有人气的玩具呢。」
<0041> 「叮铃铃铃铃……」
<0042> 「提到就来了，是她打来的。」
<0043> 「亚瑟先生！」
<0044> 「哦，\n我已经得到小兔萌萌PB了。」
<0045> 「不愧是亚瑟先生！太感谢了！」
<0046> 「……不过，之后还有……」
<0047> 「没关系，你尽管说。」
<0048> 「16倍大抱枕你听说过吗……？」
<0049> 「什么……竟然是16倍大抱枕！？」
<0050> 「诶？16倍大抱枕！？\n抱起来非常舒服，\n拥有普通抱枕16倍的\n放松助眠效果的那个吗……」
<0051> 「没错，也因此导致超高人气，\n是在线预购一分钟就断货了的幻之商品。」
<0052> 「能够……拜托你吗？」
<0053> 「哼，交给我吧。」
<0054> 「……真的可以吗？」
<0055> 「毕竟圣诞小姐需要的东西，\n就是孩子们想要的东西嘛。」
<0056> 「而让孩子们开心就是我的工作了。」
<0057> 「大叔……」
