
// ========= Scene: Stage 1 =========

// (miusaki)
<0000> 「要是还有什么有意思的游戏，\n一定要告诉我啊！\n那么就再见啦～！」

// (ceoreparque)
<0001> 「下次把罗妮也叫来吧，\n再见啦。」

// (forestwitch)
<0002> 「再见～」

// (suguri46b)
<0003> 「呼，吵闹的家伙都回去了。」

// (sumika)
<0004> 「辛苦了，\n话说回来须玖莉小姐，你连布丁都为她们做了，\n招待得也太过周到了吧？」

// (suguri46b)
<0005> 「反正我也想吃，\n所以只是顺便而已，顺便而已。」

// (sumika)
<0006> 「真的是这样吗……\n明明做的时候一脸开心的样子。」

// (sumika)
<0007> 「而且在她们吃的时候，你满脸都是\n“做得好吃吗……”，“没问题吧……”，\n“好紧张呀”的表情呢。」

// (suguri46b)
<0008> 「呜……」

// (sumika)
<0009> 「呵呵呵呵呵。」

// (suguri46b)
<0010> 「姆……」

// (suguri46b)
<0011> 「说起来栖海花。」

// (sumika)
<0012> 「怎么了？」

// (suguri46b)
<0013> 「她们还回来的这个游戏……\n要一起来玩吗？」

// (sumika)
<0014> 「哦，好啊～\n看她们玩得那么开心的样子，\n你久违地也想玩一下了吧！」

// (suguri46b)
<0015> 「不要读我的心啦……」

// (sumika)
<0016> 「那么，给胜者的奖励是什么呢？」

// (suguri46b)
<0017> 「用来招待她们的布丁，\n还剩下了一个呢。」

// (sumika)
<0018> 「原来如此，可以呀！\n那么须玖莉小姐，来一决胜负吧！」

// ========= Scene: Stage 2 =========

// (sumika)
<0019> 「原来如此，还有这么一招吗……」

// (suguri46b)
<0020> 「呵呵呵，\n那么，你要怎么办呢？」

// (sumika)
<0021> 「姆姆姆……」

// (suguri46b)
<0022> 「♪～」

// (sumika)
<0023> 「可恶——竟然还在哼曲子！\n须玖莉小姐玩游戏的时候只要领先了，\n立刻就会变得非常高兴呢。」

// (suguri46b)
<0024> 「毕竟很开心嘛。」

// (sumika)
<0025> 「栖海花就是喜欢须玖莉小姐的这种地方。」

// (suguri46b)
<0026> 「是是。」

// (sumika)
<0027> 「这个人，\n感情意外地丰富呢。」

// (suguri46b)
<0028> 「真的是这样吗，\n也可能只是装作感情丰富的样子而已。」

// (sumika)
<0029> 「啊哈哈，没这回事没这回事。\n我投。」

// (suguri46b)
<0030> 「啊——！！！竟然在这时候投出6？\n姆——！」

// (sumika)
<0031> 「你看吧。」

// ========= Scene: Stage 3 =========

// (sumika)
<0032> 「说起来，须玖莉小姐。」

// (suguri46b)
<0033> 「怎么了？」

// (sumika)
<0034> 「你是怎么看待栖海花的呢？」

// (suguri46b)
<0035> 「怎么了，突然这样问？」

// (sumika)
<0036> 「刚才那两个人，\n不是看起来感情就非常好吗。」

// (suguri46b)
<0037> 「啊，毕竟也没有平时两个人待在一起的印象，\n感觉挺意外的呢。」

// (sumika)
<0038> 「没错没错，就是这样。\n所以平时对栖海花很冷淡的须玖莉小姐\n也一样。」

// (sumika)
<0039> 「说不定其实超喜欢栖海花的呢。」

// (suguri46b)
<0040> 「原来如此啊。」

// (sumika)
<0041> 「那么，实际上又是怎么样呢？」

// (suguri46b)
