
<0000> 「啊哈哈哈哈！我是星球的导火线！\n我要烧尽所有的一切！」
<0001> 「不会让你这么做的……！\n尽我一切的力量阻止你！」
<0002> 「最终战争！让我们开始吧！」
<0003> 「我会……完成我的工作的！」
<0004> 「给我停下——！！」
<0005> 「……！？」
<0006> 「嗯？」
<0007> 「我是魔法兔萌萌！\n我制造的这个世界，\n不允许有严肃的战斗哟！」
<0008> 「魔法……？」
<0009> 「你脑子有问题。」
<0010> 「轮不到你来说，\n我是这个世界的创造神！」
<0011> 「哇……」
<0012> 「你们不要看不起我呀！」
<0013> 「总之，如果你们要在这里对战的话，\n就得遵守规则。」
<0014> 「规则？」
<0015> 「没错。\n在这个世界，战斗要用这玩意哟。」
<0016> 「骰子……吗？」
<0017> 「你们的胜负，\n就用这个骰子玩双六来决定吧！」
<0018> 「双六？虽然不怎么明白，」
<0019> 「不过好像挺有趣的，所以没问题。」
<0020> 「没问题吗！？」
<0021> 「呵呵呵，我是星球破坏者\n将会成为双六的导火线！」
<0022> 「根本意义不明啊！」
<0023> 「啵噗～！」
<0024> 「呜哇！那是米琪唠鼠吗！？」
<0025> 「我跟你们两个还有啵噗！\n四个人来玩双六对决吧！」
<0026> 「你们也要加入吗！」
<0027> 「啊哈哈哈哈！我赢啦！」
<0028> 「呜……」
<0029> 「好了，胜负已决了。\n你们也可以停止战斗了……」
<0030> 「说得对，\n接下来我该去烧掉这个世界了。」
<0031> 「为什么啊！？」
<0032> 「我可是星球破坏者呀，\n破坏星球不是理所当然嘛。」
<0033> 「哎呀呀……这孩子怎么那么凶残……\n要是不做点什么的话，我的世界就危险了！」
<0034> 「呼呼呼，\n首先先把这里烧成灰烬吧……」
<0035> 「等等等一下！\n行行好请不要烧了这个世界！」
<0036> 「嗯……」
<0037> 「……这样的话，\n你那扭曲的性格就由我来纠正吧！」
<0038> 「纠正什么的能做到吗……」
<0039> 「小优空，你也过来帮忙。」
<0040> 「我也要？」
<0041> 「为了守护世界，\n这本来就是你的工作吧！」
<0042> 「工作……！我明白了。\n优空，会加油完成工作的！」
<0043> 「叫我换这套制服……\n到底有什么意义……」
<0044> 「看起来挺精神的嘛。\n很帅气哟，像教官一样。」
<0045> 「我，看起来像教官吗……！」
<0046> 「嗯，一模一样！」
<0047> 「很好！我会加油完成工作的！！」
<0048> 「小优空还真是单纯呢……」
<0049> 「还要我等多久啦，\n可以先烧了那套衣服吗？」
<0050> 「请不要那样做！！」
