
<0000> 「这一天终于到来了……\n选出统率我等甜点之神的王者\n的神圣之日……」
<0001> 「情人节！！！」
<0002> 「今天取得胜利之人，\n将会是我等甜点之神的顶点，\n其他甜点之神必须服从于她……」
<0003> 「来吧，各位！\n来战斗吧！\n以荣耀的神之王为目标吧！」
<0004> 「……」
<0005> 「……」
<0006> 「那个……」
<0007> 「怎么了吗，甜点守护者？」
<0008> 「被那么急着叫来还以为怎么了，\n这到底在干啥啊？」
<0009> 「刚才不是已经解释过了吗。」
<0010> 「完全搞不明白说了些什么啊！！」
<0011> 「真是的……\n甜点守护者还是老样子笨狗一只呢。」
<0012> 「抱歉，我也没听明白。」
<0013> 「虽然说小Q是笨狗这一点我也同意，\n不过我也完全没搞明白就是了！」
<0014> 「纱季小姐你给我等等！！」
<0015> 「嘁，赏脸过来的家伙怎么都是笨蛋……\n说起来，\n甜点记录者和甜点创造者在哪里呢？」
<0016> 「不在这里哦～」
<0017> 「两个人都还没被实装呢。」
<0018> 「哦哦～这就是所谓的大人的事情是吧。」
<0019> 「呃……没办法了，\n那今年就由我们4个人来决出吧！\n谁能够成为甜点之神的王者！」
<0020> 「所以说到底是怎么回事啦？」
<0021> 「今天是情人节……\n也就是把究竟谁能收集到最多甜点之神的\n信仰心……\n这件事搞清楚的日子。」
<0022> 「这难道是说……」
<0023> 「还用说吗！就是巧克力啊！\n巧克力的数量就是信仰心的数量！\n要搞清楚谁是甜点之神的王者，\n没有比这更简单的方法了吧！」
<0024> 「也就是说，\n互相竞争谁能获得更多的巧克力吗？」
<0025> 「那么，获得最多巧克力的人，\n就会成为甜点之神的首领吗？」
<0026> 「不是首领，是王。」
<0027> 「嗯～虽然要做的事情是搞明白了……\n不过为什么会突然决定这么做呢？」
<0028> 「因为总觉得会很有意思啊。」
<0029> 「哈……」
<0030> 「虽然这家伙说别人是笨蛋……」
<0031> 「不过她也半斤八两嘛。」
<0032> 「你好烦啊。」
