
// ========= Scene: 1-A =========

// (krilap)
<0000> 呼……吾在此呼唤黑暗之灵……\n呼……见识一下吾的绝技吧……\n呼……

// (mimyuup)
<0001> 嘿，你。你总算醒了。

// (krilap)
<0002> 呼……

// (mimyuup)
<0003> 米缪说，你 总 算 醒 了 ！ ！ ！

// (krilap)
<0004> 哇？！

// (mimyuup)
<0005> 听好了，姐们儿。\n这不是咱们该待的地方。

// (krilap)
<0006> 你在我房里干什么？

// (mimyuup)
<0007> 这可不是你的房间。\n这里是大牢，是苦窑，是政府的四星级酒店！

// (krilap)
<0008> 你的腔调怎么这么奇怪？\n有黑暗之灵在你的舌尖上作祟吗？

// (mimyuup)
<0009> 牢狱之灾会改变一个人。

// (krilap)
<0010> 我们困在这多久了……？

// (mimyuup)
<0011> 大概四个小时。\n米缪在第一个小时陷入了疯狂，在第三个小时\n厌倦了疯狂。\n而如今，米缪成为了一个无血无泪的硬骨头。

// (krilap)
<0012> 要是让我再睡个四小时，你能把现在这个角色\n设定也给忘了吗？

// (mimyuup)
<0013> 你现在可不能睡啊。\n咱们是被陷害的。\n有两个小兔崽子顶着咱们的脸胡作非为，\n害咱们蒙受了不白之冤。

// (krilap)
<0014> 等到天亮再说吧。

// (mimyuup)
<0015> 别担心，米缪已经有计划了。\n咱们先引开狱警的注意力，然后就越狱。

// (sorasp)
<0016> 早上好，早餐时间到了。

// (krilap)
<0017> 早、早餐？\n我们在这能有东西吃？还是免费的？

// (sorasp)
<0018> 对。\n在监狱里，我们会给你提供三餐。

// (krilap)
<0019> 这就是恶魔的交易……\n吾望栖身于此，将此处化为吾的黑暗巢穴。

// (mimyuup)
<0020> 这玩意都有点焦了吧？

// (sorasp)
<0021> 这是夏姆做的，她可是全力以赴了。

// (krilap)
<0022> 就算是焦吐司也没什么值得挑剔的……\n那黑暗的坚脆在呼唤着吾漆黑的灵魂。

// (mimyuup)
<0023> 喂，狱警。\n像你这样的小姑娘干嘛在号子里工作？

// (sorasp)
<0024> 我要保护大家免遭坏人危害。

// (mimyuup)
<0025> 那你干嘛穿着校服呢？

// (sorasp)
<0026> 这只是我早上的工作，换了班我就去上学。

// (mimyuup)
<0027> 都10点了，学校已经开始上课了。

// (sorasp)
<0028> 糟糕！我迟到了！\n可我要是走了，囚犯可就要逃光了……\n呜呜呜……

// (mimyuup)
<0029> 快点，姐们儿！她走神了！\n去敲晕她咱们就可以逃之夭夭了！

// (krilap)
<0030> 可是……\n我的早餐！我的枕头！我不要离开这里！

// (mimyuup)
<0031> 别磨蹭了！快动手吧，姐们儿！

// (sorasp)
<0032> 呜呜……\n千万别给我留下不良行为记录啊……

// ========= Scene: 1-B =========

// (mimyuup)
<0033> 搞定她了！走吧，姐们儿。咱们快行动吧。

// (krilap)
<0034> 好，你去探路，\n而我，暗之克里拉拉莉丝，\n就回笼子里去享受一天三餐的待遇。

// (mimyuup)
<0035> 你逗我呢？这鬼地方你是住不下去的。

// (krilap)
<0036> 笼子和围栏宛如我黑暗中的故友，\n它们无法束缚我的堕落之力。

// (mimyuup)
<0037> 事情可没那么简单。\n这地方……这地方可是有强制劳动义务的！

// (krilap)
<0038> 啊。

// (mimyuup)
<0039> 而且你也甭想去看漫画研究你那新必杀技了！

// (krilap)
<0040> 啊啊！

// (mimyuup)
<0041> 再说了……\n这世上可没有什么哥特洛丽塔囚服啊！

// (krilap)
<0042> 啊啊啊！\n快！我们还站在这里干什么呢！

// (mimyuup)
<0043> 这才像话嘛。

// (sorasp)
<0044> 啊呜呜……

// (mimyuup)
<0045> 不好意思啊，小妹妹。\n咱们也是身不由己，现在咱们可得溜了。

// (krilap)
<0046> 你只需要在审判之刻念出这条黑暗咒语：\n“我在工作时遭遇了意外，这可是工伤啊”。

// (sorasp)
<0047> 呜呜呜……\n我大概能开到病假条了。

// ========= Scene: 2-A =========

// (mimyuup)
<0048> 嘿嘿！成了啊，姐们儿。\n这下我们就不用当什么替罪羊了！

// (krilap)
<0049> 羊……鲜美的羊肉串……\n我好饿……走不动了……

// (mimyuup)
<0050> 你是没吃饭吗？

// (krilap)
<0051> 在那之前不就执行了你的计划吗！

// (mimyuup)
<0052> 我们就躲这整点东西吃吧。

// (mimyuup)
<0053> 给我来两杯煮叶子，几条狗崽子，再整俩\n鸡子儿。

// (chris)
<0054> 就这些吗？

// (mimyuup)
<0055> 再来杯土畜乳。

// (krilap)
