
// ========= Scene: Opening =========

// (darklulu)
<0000> 「好……伤心……」

// (ellie)
<0001> 「醒醒啊，露露……！\n你到底怎么了？」

// (darklulu)
<0002> 「艾莉……已经把妈妈找到了。」

// (darklulu)
<0003> 「这本应该是件好事的……」

// (darklulu)
<0004> 「呜呜呜呜……！」

// (darklulu)
<0005> 「啊啊啊啊啊！」

// (motherpoppo)
<0006> 「这下可糟糕了啵！\n她的魔力已经快要失控了。」

// (ellie)
<0007> 「醒醒啊，露露！！」

// (???)
<0008> 「没用的……」

// (???)
<0009> 「小露露会变成这副样子，\n可全都是你的错啊。」

// (arnelle)
<0010> 「什么人！」

// (watty)
<0011> 「大家小心一点……！」

// (watty)
<0012> 「我所感受到的强大魔力……\n正是来自于这里！」

// (???)
<0013> 「呵呵呵……哈哈哈哈！」

// (mio)
<0014> 「啊～真是开心啊！」

// (motherpoppo)
<0015> 「你是！」

// (mio)
<0016> 「我是……」

// (mio)
<0017> 「小露露的妈妈哦♥」

// (ellie)
<0018> 「露露的……！？」

// (mio)
<0019> 「然后呢……」

// (mio)
<0020> 「还是这个世界的神明！」

// (pomeranius)
<0021> 「神明……？」

// (halena)
<0022> 「这到底是怎么回事？」

// (cook)
<0023> 「不过这家伙……确实很危险。」

// (maynie)
<0024> 「尽管说是神明让人感到难以置信……\n但还是能感受到一股很强的威圧感……！」

// (ellie)
<0025> 「露露的妈妈不仅是神还突然现身了，\n而露露也变得奇怪了……\n这到底是怎么一回事！」

// (mio)
<0026> 「呵呵呵，小艾莉啊～」

// (mio)
<0027> 「在经历了漫长的旅途之后……\n你终于找到了自己一直在寻找的妈妈。」

// (mio)
<0028> 「恭喜你♥」

// (ellie)
<0029> 「……」

// (mio)
<0030> 「可是呢，对神来说，\n就这么迎来快乐结局那就太～无聊啦。」

// (mio)
<0031> 「我跟那个人可不一样，\n相比来得过于轻巧的幸福，我更喜欢让所有的\n努力全部付诸东流的坏结局。」

// (mio)
<0032> 「小艾莉，尽管你可能会因为找到自己的妈妈而\n感到幸福，\n可是呢……」

// (darklulu)
<0033> 「露露……露露好孤单……」

// (darklulu)
<0034> 「露露一直觉得旅行很开心，\n都是因为露露最喜欢和艾莉在一起了。」

// (darklulu)
<0035> 「露露是个坏孩子，\n心中忍不住期望着旅行能够一直持续下去……\n期望着艾莉找不到自己的妈妈。」

// (darklulu)
<0036> 「因为要是找到了她，艾莉就会跟妈妈一起走，\n把露露一个人抛下……」
