<0000> 嘿！
<0001> 喝呀——
<0002> 呀——！
<0003> 我上了——！
<0004> 来用这个吧♡
<0005> 我要放手去做了♡
<0006> 我不会再忍耐了！
<0007> 全都变得一团糟吧♡
<0008> 嘿嘿嘿嘿嘿，好开心
<0009> 放在这里应该不会有人注意到吧♡
<0010> 谁会中招呢，我都已经等不及了
<0011> 呵呵呵，这就是天才级的陷阱
<0012> 我变得更加更加强大咯♡
<0013> 这下就别想拦住我啦♡
<0014> 我要全力以赴啦——♡
<0015> 我是无敌的！
<0016> 已经没人拦得住我啦！！
<0017> 我还好得很呢！
<0018> 我要继续展露拳脚啦！
<0019> 我是不会输的！
<0020> 休息时间已经结束了！
<0021> 咦——，为什么？
<0022> 呜呜，好想快点好起来啊
<0023> 唔，为什么啊
<0024> 可恶——，我还想快点继续玩呢
<0025> 嘭——！
<0026> 喝呀——！
<0027> 哈啊啊啊啊！！
<0028> 啊哈——！！
<0029> 疼！
<0030> 好疼啊——！
<0031> 住手！
<0032> 唔唔唔……
<0033> 我变得超有活力了♡
<0034> 啊哈——！太赞了！
<0035> 我现在超级健康了
<0036> 这下我就可以继续行动了——！啊哈——！
<0037> 哇——，这什么东西啊——
<0038> 哇哦～
<0039> 噫，我讨厌传送啊——
<0040> 这是什么地方！
<0041> 以如今的我……怎么会……
<0042> 啊哈……可能有点得意忘形了
<0043> 呜——，失误了
<0044> 混蛋——！可恶——！
<0045> 如今的我完全就是辆失控列车了！！
<0046> 啊哈～，发现猎物♡
<0047> 啊哈♡ 乖乖受死吧！
<0048> 嘻嘻嘻，找到玩伴啦～
<0049> 别碍事！
<0050> 你是阻止不了我的！
<0051> 啊哈——！不知天高地厚的家伙！
<0052> 你有资格与如今的我一战吗？
<0053> 无所顾忌的轰隆！
<0054> 看我来骰了你！
<0055> 啊哈——！太赞了！
<0056> 啊哈！狠狠地进攻！
<0057> 噫！
<0058> 噫哇！
<0059> 呜哇！
<0060> 可恶！
<0061> 呀哇！
<0062> 啊呀——！
<0063> 呜哇啊啊！
<0064> 痛得要死了！
<0065> 太慢了太慢了
<0066> 你往哪打啊？啊哈～！
<0067> 杂鱼杂鱼～
<0068> 轻轻一闪！
<0069> 轻而易举～！
<0070> 是我赢了！这不是当然的吗！
<0071> 啊哈～！感觉超开心
<0072> 杂鱼杂鱼杂鱼～！
<0073> 如今的我……明明就是最强的……
<0074> 怎么可能……！
<0075> 太难以置信了
<0076> 呜……，这也太过分了
<0077> 耶！好开心！
<0078> 太棒了太棒了太棒了～♡
<0079> 我这也太走运了吧～？
<0080> 啊哈～，我喜欢星星！
<0081> 慢着慢着，不可能不可能不可能！
<0082> 啊呀——！我的星星！
<0083> 怎么能这样啊，我受不了了
<0084> 我的……星星！
<0085> 好痛！不可饶恕！
<0086> 这个臭陷阱！
<0087> 真恶劣！居然放在这种地方！
<0088> 呃啊！太卑鄙了！
<0089> 哦？该试试身手了吗？
<0090> 如今的我可是不会输的！
<0091> 好像很强……可我一点都不会怕！
<0092> 嗯……看着还挺强的嘛
<0093> 我要用这力量去收集好多的星星
