<0000> 丢骰子……
<0001> 哼
<0002> 这种东西……
<0003> 嘿
<0004> 卡片这样的东西……
<0005> 你说要用的话露露就用
<0006> 没办法了
<0007> 根本不需要这种东西
<0008> 陷阱……
<0009> 这种东西还能有人上钩吗？
<0010> 要是之后能派上用场就好了……
<0011> 陷阱卡……
<0012> 不会让你有机会出手的
<0013> 让你明白一下什么才是力量……
<0014> 露露不想输……
<0015> 就让露露来用这个吧
<0016> 厄运之力……
<0017> 不能就这么倒下
<0018> 还要造成更多的混乱
<0019> 事情变得有趣起来了
<0020> 再试一次
<0021> 呜……
<0022> 为什么……
<0023> 唔……
<0024> 好奇怪……
<0025> 露露的爪子是很锐利的
<0026> 不想受伤就别冒出来了
<0027> 呀！
<0028> 露露本不想伤人的
<0029> 唔！
<0030> 住手……！
<0031> 就会耍点小伎俩
<0032> 嘁！
<0033> 恢复是必要的
<0034> 有力气继续行动了
<0035> 既然已经恢复活力了
<0036> 受到的伤害已经不见了！
<0037> 要去哪……
<0038> 要把露露带去什么地方？
<0039> 头……好晕……
<0040> 这到底是怎么回事……
<0041> 唔……
<0042> 已经站不住了……
<0043> 露露好弱……
<0044> 真不像样……
<0045> 如今的露露有点凶暴
<0046> 自己小心不要受伤吧
<0047> 别想逃
<0048> 就在这里打倒你
<0049> 别碍事
<0050> 好烦人啊
<0051> 既然想要动手，那露露也会奉陪到底
<0052> 这可是你们先来惹事的……！
<0053> 哈！
<0054> 就凭这一击！
<0055> 打飞你
<0056> 消失吧
<0057> 啊！
<0058> 可恶！
<0059> 被打中了……？
<0060> 这是没用的！
<0061> 呜啊！
<0062> 过分……！
<0063> 好痛苦
<0064> 唔……！
<0065> 露露可是很快的
<0066> 没打中
<0067> 你在打哪里啊？
<0068> 露露已经不在那里了
<0069> 都是因为你要妨碍露露……
<0070> 让开点……
<0071> 感觉还没闹够
<0072> ……下手太重了吗？
<0073> 露露……好弱啊
<0074> 露露都已经努力过了……
<0075> 呜……怎么会
<0076> 输掉了……
<0077> 露露就收下了
<0078> ……好开心
<0079> 还得再收集一些……
<0080> 这么多星星……
<0081> 不能就这么消失……
<0082> 不要！
<0083> 不见了
<0084> 不要不要！
<0085> 陷阱！？
<0086> 竟然被陷阱给……
<0087> 居然中了这种东西……
<0088> 呜哇，这种地方居然……
<0089> 那就是……敌人……
<0090> 露露也要使出全力……
<0091> 不就是个子大了点……
<0092> 尽管很可怕……但还是会努力的……
<0093> 想要更多更多的星星
<0094> 这闪闪发光的东西能让露露感到安心
<0095> 去收集很多吧……
<0096> 天空满是星星……
<0097> 打倒所有碍事的人
<0098> 毕竟露露应该已经比之前更强了
<0099> 多多战斗
<0100> 爪子已经迫不及待了
<0101> 想和露露一起？请便……
<0102> 露露……跟之前不一样了？到底是为什么呢……
<0103> 露露被选中了……？
<0104> 露露会加油的……
<0105> 唉……加油吧
<0106> 开始了……！
<0107> 既然开始了，那就一定要获得胜利……
<0108> 不能输给任何人……
<0109> 露露赢了……？
<0110> 呼……露露成功了？
<0111> 能赢真好啊……
<0112> 露露……好像真的变强了？
<0113> 这个也许能让露露变得更强
<0114> 你能开心就好
<0115> 那个东西……要用用看吗？
<0116> 拿到好东西了……
<0117> 换人
<0118> 现在先麻烦你了
<0119> 我们要互相帮助
<0120> 我们两个人齐心协力……
<0121> 知道了
<0122> 真好啊
<0123> 嗯
<0124> 不行
<0125> ……呜
<0126> 真走运……吗
<0127> 唔……？
<0128> 上了
<0129> 哼！
<0130> 加油……
<0131> 你好
<0132> 咦……
<0133> 好厉害
<0134> 真让人尊敬
<0135> 唔，不甘心
<0136> 这个也要拿来用了吗？
<0137> 虽然不太了解这个东西……但还是要用
<0138> 虽然不知道能不能用好……
<0139> 露露会试试看的
<0140> 谢谢
<0141> 露露不会让你如愿以偿的
<0142> 露露就是……露露
<0143> 露露会用自己的方式活下去
<0144> 露露……不能让她得逞……！
<0145> 最喜欢，艾莉了……
<0146> 艾莉……你还愿意跟露露一起玩吗？
<0147> 艾莉最棒了……呵呵呵
<0148> 艾莉，我们要永远都是好朋友啊
<0149> 接受厄运之星吧……
<0150> 大家一起失去吧……
<0151> 很多的光辉就这么消失了
<0152> 大家一起失去就不会害怕了吧？
<0153> 消除大家的卡片吧
<0154> 你们重要的卡片都已经……抱歉
<0155> 没有了卡片的话，就没办法阻碍露露了吧……
<0156> 必须要减少威胁
<0157> 露露的毒……要来尝一下吗？
<0158> 希望你们能变得不那么有活力
<0159> 还差一点你们就动不了了
<0160> 给大家散播不幸……
<0161> 伤害艾莉的人要全部消灭掉
